descricao,categoria
Calça jeans masculina,Roupas
Notebook gamer potente,Eletrônicos
Camiseta estampada feminina,Roupas
Smartphone com câmera tripla,Eletrônicos
Tênis esportivo masculino,Roupas
Fone de ouvido bluetooth,Eletrônicos
Vestido floral verão,Roupas
TV 4K LED 50 polegadas,Eletrônicos
Jaqueta de couro preta,Roupas
Tablet Android 10 polegadas,Eletrônicos
Camisa social masculina,Roupas
Mouse gamer com RGB,Eletrônicos
Blusa de lã feminina,Roupas
Caixa de som portátil,Eletrônicos
Saia longa boho,Roupas
Monitor 24 polegadas full HD,Eletrônicos
Shorts jeans feminino,Roupas
Carregador rápido USB-C,Eletrônicos
Macacão estampado,Roupas
Teclado mecânico retroiluminado,Eletrônicos
Camisa polo lisa,Roupas
Webcam HD com microfone,Eletrônicos
Blazer casual masculino,Roupas
Headset gamer com microfone,Eletrônicos
Calça legging fitness,Roupas
Notebook ultrafino SSD,Eletrônicos
Regata básica feminina,Roupas
Smartwatch com monitor cardíaco,Eletrônicos
Moletom canguru unissex,Roupas
Roteador Wi-Fi dual band,Eletrônicos
